index,search_query,name,current_price,original_price,rating,reviews,discount,offers,image_url,delivery,availability,site,scraped_at
1,mobile phones,"Samsung Galaxy M36 5G (Velvet Black, 6 GB RAM, 128 GB Storage)| Circle to Search| Google Gemini| Corning Gorilla Glass Victus+| 7.7mm Slim| AI Enhanced 50 MP OIS Triple Camera| Unmatched Nightography","₹13,999","₹22,999",3.8,2,Limited time deal,Sponsored; 5K+ bought in past month; M.R.P:; Save extra with No Cost EMISave extra with No Cost EMI; FREE delivery22 - 25 Nov,https://m.media-amazon.com/images/I/61FcXMhjr8L._AC_UY218_.jpg,FREE delivery22 - 25 Nov,5K+ bought in past month,amazon,2025-10-25T16:55:08.510069
2,mobile phones,"iPhone 17 Pro 1 TB: 15.93 cm (6.3″) Display with Promotion up to 120Hz, A19 Pro Chip, Breakthrough Battery Life, Pro Fusion Camera System with Center Stage Front Camera; Cosmic Orange","₹1,74,900",N/A,4.4,20,N/A,"Up to 5% back with Amazon Pay ICICI card; Up to 5% back with Amazon Pay ICICI...; Sponsored; Up to 5% back with Amazon Pay ICICI cardUp to 5% back with Amazon Pay ICICI...; FREE deliveryWed, 29 OctOr fastest deliveryMon, 27 Oct",https://m.media-amazon.com/images/I/71JGCn1z1TL._AC_UY218_.jpg,"FREE deliveryWed, 29 OctOr fastest deliveryMon, 27 Oct",N/A,amazon,2025-10-25T16:55:08.526066
3,mobile phones,"Samsung Galaxy M06 5G (Sage Green, 4GB RAM, 64GB Storage) | MediaTek Dimensity 6300 | AnTuTu Score 422K+ | 12 5G Bands| 25W Fast Charging | 4 Gen of OS Upgrades | Without Charger","₹7,499","₹12,499",3.9,4,Limited time deal,"Up to 5% back with Amazon Pay ICICI card; Up to 5% back with Amazon Pay ICICI...; 5K+ bought in past month; M.R.P:; Up to 5% back with Amazon Pay ICICI cardUp to 5% back with Amazon Pay ICICI...; FREE deliveryTue, 28 OctOr fastest deliveryMon, 27 Oct",https://m.media-amazon.com/images/I/71evPv-TvmL._AC_UY218_.jpg,"FREE deliveryTue, 28 OctOr fastest deliveryMon, 27 Oct",5K+ bought in past month,amazon,2025-10-25T16:55:08.534063
4,mobile phones,"Redmi 13 5G Prime Edition, Orchid Pink, 8GB+128GB | India Debut SD 4 Gen 2 AE | 108MP Pro Grade Camera | 6.79in Largest Display in Segment","₹10,999","₹19,999",4.1,3,Limited time deal,"5K+ bought in past month; M.R.P:; Save extra with No Cost EMISave extra with No Cost EMI; FREE deliveryTue, 28 OctOr fastest deliveryMon, 27 Oct",https://m.media-amazon.com/images/I/81AyOlAxwuL._AC_UY218_.jpg,"FREE deliveryTue, 28 OctOr fastest deliveryMon, 27 Oct",5K+ bought in past month,amazon,2025-10-25T16:55:08.543065
5,mobile phones,"Samsung Galaxy A55 5G (Awesome Navy, 8GB RAM, 128GB Storage) | AI | Metal Frame | 50 MP Main Camera (OIS) | Super HDR Video| Nightography | IP67 | Corning Gorilla Glass Victus+ | sAMOLED Display","₹23,999","₹42,999",4.2,3,(44% off),"4K+ bought in past month; M.R.P:; Save extra with No Cost EMISave extra with No Cost EMI; FREE deliveryTue, 28 OctOr fastest deliveryMon, 27 Oct",https://m.media-amazon.com/images/I/71auR6K7DpL._AC_UY218_.jpg,"FREE deliveryTue, 28 OctOr fastest deliveryMon, 27 Oct",4K+ bought in past month,amazon,2025-10-25T16:55:08.550068
6,mobile phones,"Samsung Galaxy M06 5G (Blazing Black, 4GB RAM, 128 GB Storage) | MediaTek Dimensity 6300 | AnTuTu Score 422K+ | 12 5G Bands | 25W Fast Charging | 4 Gen of OS Upgrades | Without Charger","₹7,999","₹13,999",3.9,4,Limited time deal,"5K+ bought in past month; M.R.P:; FREE deliveryTue, 28 OctOr fastest deliveryMon, 27 Oct",https://m.media-amazon.com/images/I/71iMTdPA34L._AC_UY218_.jpg,"FREE deliveryTue, 28 OctOr fastest deliveryMon, 27 Oct",5K+ bought in past month,amazon,2025-10-25T16:55:08.557085
7,mobile phones,"realme NARZO 80 Lite 5G (Crystal Purple, 6GB+128GB) | 6000mAh Long-Lasting Battery | MediaTek Dimensity 6300 5G | AI Assist | IP64 Rated Water & Dust Resistance | Military-Grade Durability","₹10,749","₹14,999",4.2,1,(28% off),"5K+ bought in past month; M.R.P:; FREE deliveryTue, 28 OctOr fastest deliveryMon, 27 Oct",https://m.media-amazon.com/images/I/71Vjn1DfArL._AC_UY218_.jpg,"FREE deliveryTue, 28 OctOr fastest deliveryMon, 27 Oct",5K+ bought in past month,amazon,2025-10-25T16:55:08.563086
8,mobile phones,"POCO C71, Cool Blue (6GB, 128GB)","₹6,799","₹9,999",4.1,917,(32% off),"2K+ bought in past month; M.R.P:; FREE deliveryTue, 28 OctOr fastest deliveryMon, 27 Oct",https://m.media-amazon.com/images/I/51FgDipEA3L._AC_UY218_.jpg,"FREE deliveryTue, 28 OctOr fastest deliveryMon, 27 Oct",2K+ bought in past month,amazon,2025-10-25T16:55:08.570082
9,mobile phones,OnePlus Nord 5 | Snapdragon 8s Gen 3 | Stable 144FPS Gaming | Dual 50MP Flagship Camera | Powered by OnePlus AI | 12GB + 512GB | Phantom Grey,"₹37,999","₹40,999",4.4,2,(7% off),"Up to 5% back with Amazon Pay ICICI card; Up to 5% back with Amazon Pay ICICI...; 1K+ bought in past month; M.R.P:; Up to 5% back with Amazon Pay ICICI cardUp to 5% back with Amazon Pay ICICI...; FREE deliveryTue, 28 OctOr fastest deliveryMon, 27 Oct",https://m.media-amazon.com/images/I/61qKkGW41SL._AC_UY218_.jpg,"FREE deliveryTue, 28 OctOr fastest deliveryMon, 27 Oct",1K+ bought in past month,amazon,2025-10-25T16:55:08.577096
10,mobile phones,"Samsung Galaxy A35 5G (Awesome Lilac, 8GB RAM, 128GB Storage) | Premium Glass Back | 50 MP Main Camera (OIS) | Nightography | IP67 | Corning Gorilla Glass Victus+ | sAMOLED with Vision Booster","₹19,190","₹33,999",4.1,329,(44% off),"Up to 5% back with Amazon Pay ICICI card; Up to 5% back with Amazon Pay ICICI...; 1K+ bought in past month; M.R.P:; Up to 5% back with Amazon Pay ICICI cardUp to 5% back with Amazon Pay ICICI...; FREE deliveryTue, 28 OctOr fastest deliveryMon, 27 Oct; More Buying Choices₹18,866(13 new offers); More Buying Choices",https://m.media-amazon.com/images/I/71w0ku3JQbL._AC_UY218_.jpg,"FREE deliveryTue, 28 OctOr fastest deliveryMon, 27 Oct",1K+ bought in past month,amazon,2025-10-25T16:55:08.584079
11,mobile phones,"iPhone Air 1 TB: Thinnest iPhone Ever, 16.63 cm (6.5″) Display with Promotion up to 120Hz, Powerful A19 Pro Chip, Center Stage Front Camera, All-Day Battery Life; Sky Blue","₹1,59,900",N/A,2.8,15,N/A,"Up to 5% back with Amazon Pay ICICI card; Up to 5% back with Amazon Pay ICICI...; Sponsored; Up to 5% back with Amazon Pay ICICI cardUp to 5% back with Amazon Pay ICICI...; FREE deliveryTue, 28 OctOr fastest deliveryMon, 27 Oct",https://m.media-amazon.com/images/I/61Ce-6B6x+L._AC_UY218_.jpg,"FREE deliveryTue, 28 OctOr fastest deliveryMon, 27 Oct",N/A,amazon,2025-10-25T16:55:08.595080
12,mobile phones,Apple iPhone 15 (128 GB) - Green,"₹53,100","₹69,900",4.5,7,(24% off),Up to 5% back with Amazon Pay ICICI card; Up to 5% back with Amazon Pay ICICI...; Sponsored; 5K+ bought in past month; M.R.P:; Up to 5% back with Amazon Pay ICICI cardUp to 5% back with Amazon Pay ICICI...; FREE delivery27 Oct - 5 Nov,https://m.media-amazon.com/images/I/71nvkHnPpZL._AC_UY218_.jpg,FREE delivery27 Oct - 5 Nov,5K+ bought in past month,amazon,2025-10-25T16:55:08.603080
13,mobile phones,"Lava Bold N1 Pro (Titanium Gold, 4 GB RAM, 128 GB Storage)| Bigger 6.67"" HD+ IP54 Display | 120 Hz Refresh Rate | 50 MP AI Triple Rear Camera | 8 MP Front Camera| 5000 mAh Battery | Charger in Box","₹6,798","₹8,339",4.0,1,(18% off),"3K+ bought in past month; M.R.P:; FREE deliveryTue, 28 OctOr fastest deliveryMon, 27 Oct",https://m.media-amazon.com/images/I/71+JazMDXhL._AC_UY218_.jpg,"FREE deliveryTue, 28 OctOr fastest deliveryMon, 27 Oct",3K+ bought in past month,amazon,2025-10-25T16:55:08.612087
14,mobile phones,"Samsung Galaxy M35 5G (DayBreak Blue,8GB RAM,128GB Storage)| Corning Gorilla Glass Victus+| AnTuTu Score 595K+| Vapour Cooling Chamber| 6000mAh Battery| 120Hz Super AMOLED Display| AI| Without Charger","₹18,499","₹25,999",4.2,15,(29% off),"2K+ bought in past month; M.R.P:; Save extra with No Cost EMISave extra with No Cost EMI; FREE deliveryTue, 28 OctOr fastest deliveryMon, 27 Oct",https://m.media-amazon.com/images/I/81nt-RGKpyL._AC_UY218_.jpg,"FREE deliveryTue, 28 OctOr fastest deliveryMon, 27 Oct",2K+ bought in past month,amazon,2025-10-25T16:55:08.618062
15,mobile phones,"Samsung Galaxy F06 5G, Bahama Blue (4GB, 128GB)","₹8,599","₹13,999",3.9,369,(39% off),"1K+ bought in past month; M.R.P:; FREE deliveryTue, 28 OctOr fastest deliveryMon, 27 Oct; More Buying Choices₹8,598(17 new offers); More Buying Choices",https://m.media-amazon.com/images/I/419elQRZNFL._AC_UY218_.jpg,"FREE deliveryTue, 28 OctOr fastest deliveryMon, 27 Oct",1K+ bought in past month,amazon,2025-10-25T16:55:08.625164
16,mobile phones,"Motorola G45 5G (Brilliant Green, 8GB RAM, 128GB Storage) | 6.5"" FHD+ Display | Snapdragon 6 Gen1 Processor | 50MP Camera | 16MP Front Camera | 5000mAh Battery | 33W Charging","₹11,739","₹14,999",4.0,1,(22% off),"2K+ bought in past month; M.R.P:; FREE deliveryMon, 3 Nov",https://m.media-amazon.com/images/I/51NuKHBLX2L._AC_UY218_.jpg,"FREE deliveryMon, 3 Nov",2K+ bought in past month,amazon,2025-10-25T16:55:08.631064
17,mobile phones,Motorola All-New A300 Dual Sim keypad Phone | 2 Years Replacement | Long Lasting Battery | Built-in UPI Payments App | Wireless FM | Auto Call Recording (Teal),"₹1,264","₹1,699",5.0,1,(26% off),"500+ bought in past month; M.R.P:; FREE deliveryTue, 28 OctOr fastest deliveryMon, 27 Oct",https://m.media-amazon.com/images/I/61z9eGpuFrL._AC_UY218_.jpg,"FREE deliveryTue, 28 OctOr fastest deliveryMon, 27 Oct",500+ bought in past month,amazon,2025-10-25T16:55:08.638064
18,mobile phones,"OnePlus Nord CE4 (Celadon Marble, 8GB RAM, 128GB Storage) | Lifetime Display Warranty | Qualcomm® Snapdragon™ 7 Gen 3 - Best in The Segment | 50 MP Camera with OIS","₹18,999","₹24,999",4.3,11,Limited time deal,"5K+ bought in past month; M.R.P:; FREE deliveryTue, 28 OctOr fastest deliveryMon, 27 Oct",https://m.media-amazon.com/images/I/61nxQ62qglL._AC_UY218_.jpg,"FREE deliveryTue, 28 OctOr fastest deliveryMon, 27 Oct",5K+ bought in past month,amazon,2025-10-25T16:55:08.646064
19,mobile phones,"Nokia 105 Classic | Single SIM Keypad Phone with Built-in UPI Payments, Long-Lasting Battery, Wireless FM Radio | Without Charger | Blue",₹999,"₹1,249",3.8,20,(20% off),"Up to 5% back with Amazon Pay ICICI card; Up to 5% back with Amazon Pay ICICI...; 2K+ bought in past month; M.R.P:; Up to 5% back with Amazon Pay ICICI cardUp to 5% back with Amazon Pay ICICI...; FREE deliveryTue, 28 OctOr fastest deliveryMon, 27 Oct",https://m.media-amazon.com/images/I/51JF6aannbL._AC_UY218_.jpg,"FREE deliveryTue, 28 OctOr fastest deliveryMon, 27 Oct",2K+ bought in past month,amazon,2025-10-25T16:55:08.653062
20,mobile phones,"iQOO Z10 Lite 5G (Titanium Blue, 8GB RAM, 256GB Storage) | 6000 mAh Battery | Dimensity 6300 5G Processor with 433K+* AnTuTu Score | IP64 Rated & Military Grade Shock-Resistance*","₹12,998","₹16,999",4.0,3,Limited time deal,"5K+ bought in past month; M.R.P:; FREE deliveryTue, 28 OctOr fastest deliveryMon, 27 Oct",https://m.media-amazon.com/images/I/61vww2LWl9L._AC_UY218_.jpg,"FREE deliveryTue, 28 OctOr fastest deliveryMon, 27 Oct",5K+ bought in past month,amazon,2025-10-25T16:55:08.661095
21,mobile phones,"iPhone 16 128 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Teal","₹66,900","₹79,900",4.5,1,(16% off),"Up to 5% back with Amazon Pay ICICI card; Up to 5% back with Amazon Pay ICICI...; Sponsored; 500+ bought in past month; M.R.P:; Up to 5% back with Amazon Pay ICICI cardUp to 5% back with Amazon Pay ICICI...; FREE deliveryFri, 31 Oct",https://m.media-amazon.com/images/I/61eYPkT2zZL._AC_UY218_.jpg,"FREE deliveryFri, 31 Oct",500+ bought in past month,amazon,2025-10-25T16:55:08.669084
22,mobile phones,"Samsung Galaxy M17 5G (Moonlight Silver, 4GB RAM, 128GB Storage)| Circle to Search| Gemini Live| 50MP OIS Triple Camera| IP54 Rating| Gorilla Glass Victus| AI| 6 Gen of OS Upgrades| Without Charger","₹12,999","₹16,499",4.3,38,(21% off),"Save ₹500with coupon; with coupon; Sponsored; M.R.P:; ₹500Save ₹500with coupon; FREE deliveryTue, 28 OctOr fastest deliveryMon, 27 Oct",https://m.media-amazon.com/images/I/71fOArIi24L._AC_UY218_.jpg,"FREE deliveryTue, 28 OctOr fastest deliveryMon, 27 Oct",N/A,amazon,2025-10-25T16:55:08.678080
1,mobile phones,"Google Pixel 9A (Obsidian, 256 GB)4.43,231 Ratings&245 Reviews8 GB RAM | 256 GB ROM15.96 cm (6.285 inch) Full HD+ Display48MP + 12MP | 12MP Front Camera5100 mAh BatteryTensor G4 Processor1 Year Domestic Warranty₹44,999₹49,99910% offSuper DealsUpto₹32,350Off on Exchange","₹44,999","₹49,999",4.4,3,10% off,,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/x/b/u/-original-imahadxg2fazkzub.jpeg,N/A,N/A,flipkart,2025-10-25T16:55:11.308837
